"","date","BTC","XRP","ETH","XLM","BCH","EOS","LTC","USDT"
"2017-07-23","2017-07-23",2730.4,0.195058,225.95,0.021769,413.06,1.87,44.06,0.997761
"2017-07-24","2017-07-24",2754.86,0.192002,224.71,0.022605,440.7,1.87,44.41,0.993997
"2017-07-25","2017-07-25",2576.48,0.178104,206.71,0.018551,406.9,1.65,42.24,0.999802
"2017-07-26","2017-07-26",2529.45,0.173822,203.95,0.018878,365.82,1.74,42.23,0.996955
"2017-07-27","2017-07-27",2671.78,0.173457,204.32,0.018322,385.48,1.95,42.14,0.997275
"2017-07-28","2017-07-28",2809.01,0.165937,193.12,0.016961,406.05,1.85,40.61,1
"2017-07-29","2017-07-29",2726.45,0.169871,205.79,0.017447,384.77,1.83,41.12,0.996619
"2017-07-30","2017-07-30",2757.18,0.165082,197.98,0.015984,345.66,1.78,40.42,0.998868
"2017-07-31","2017-07-31",2875.34,0.167386,203.87,0.016095,294.46,1.74,43.02,1
"2017-08-01","2017-08-01",2718.26,0.177053,226.77,0.017933,380.01,1.78,43.04,0.996819
"2017-08-02","2017-08-02",2710.67,0.173113,219.95,0.018413,452.66,1.78,42.13,1
"2017-08-03","2017-08-03",2804.73,0.174612,225.34,0.01886,364.05,1.8,42.86,0.969304
"2017-08-04","2017-08-04",2895.89,0.173743,223.07,0.022241,233.05,1.81,43.45,1
"2017-08-05","2017-08-05",3252.91,0.184737,256.51,0.023984,213.15,1.91,46.86,0.998314
"2017-08-06","2017-08-06",3213.94,0.180444,261.57,0.022701,220.66,1.74,45.1,1
"2017-08-07","2017-08-07",3378.94,0.179021,269.18,0.022195,319.69,1.81,45.8,0.996254
"2017-08-08","2017-08-08",3419.94,0.192586,296.77,0.023737,345.49,1.88,48.63,1
"2017-08-09","2017-08-09",3342.47,0.182947,296.03,0.022996,303.89,1.83,48.01,1
"2017-08-10","2017-08-10",3381.28,0.180399,295.89,0.022007,275.95,1.83,46.5,0.992991
"2017-08-11","2017-08-11",3650.62,0.179307,308.86,0.02148,328.24,1.79,47.1,1
"2017-08-12","2017-08-12",3884.71,0.173853,310.6,0.020218,317.09,1.67,46.43,1
"2017-08-13","2017-08-13",4073.26,0.168092,298.06,0.01825,298.05,1.62,45.81,0.998616
"2017-08-14","2017-08-14",4325.13,0.169991,300.1,0.017622,297.68,1.66,45.8,0.998163
"2017-08-15","2017-08-15",4181.93,0.161221,289.82,0.017433,297.86,1.65,43.31,1
"2017-08-16","2017-08-16",4376.63,0.160431,302.27,0.017702,300.21,1.6,44.15,1
"2017-08-17","2017-08-17",4331.69,0.157498,301.46,0.017327,460.53,1.55,43.91,1.01
"2017-08-18","2017-08-18",4160.62,0.158883,295.59,0.016842,690.24,1.42,47.28,1.01
"2017-08-19","2017-08-19",4193.7,0.155057,297.47,0.016513,754.56,1.4,45.48,1
"2017-08-20","2017-08-20",4087.66,0.158735,301.43,0.017631,712.87,1.37,46.23,0.996629
"2017-08-21","2017-08-21",4001.74,0.191918,321.59,0.019753,599.64,1.34,47.94,0.999263
"2017-08-22","2017-08-22",4100.52,0.239286,314.79,0.021624,690.88,1.28,46.73,1.01
"2017-08-23","2017-08-23",4151.52,0.246827,317.52,0.020222,669.4,1.41,53.25,1
"2017-08-24","2017-08-24",4334.68,0.218958,325.61,0.019024,628.11,1.38,50.19,1
"2017-08-25","2017-08-25",4371.6,0.217828,331.92,0.020497,641.05,1.38,51.18,1
"2017-08-26","2017-08-26",4352.4,0.212577,333.88,0.021208,625.32,1.36,51.75,0.998932
"2017-08-27","2017-08-27",4382.88,0.202995,347.89,0.019785,620.9,1.35,61.16,1
"2017-08-28","2017-08-28",4382.66,0.224508,347.75,0.020525,596.18,1.34,62.36,1
"2017-08-29","2017-08-29",4579.02,0.218564,370.67,0.020104,552.93,1.31,63.17,1
"2017-08-30","2017-08-30",4565.3,0.228006,378.48,0.021224,575.21,1.23,64.17,1
"2017-08-31","2017-08-31",4703.39,0.25563,383.04,0.022405,588.17,1.3,71.06,1
"2017-09-01","2017-09-01",4892.01,0.248479,387.74,0.023954,622.17,1.3,86.04,1
"2017-09-02","2017-09-02",4578.77,0.226669,348.98,0.020837,575.9,1.23,79.02,1.02
"2017-09-03","2017-09-03",4582.96,0.228811,347.48,0.021296,607.43,1.25,76.84,1
"2017-09-04","2017-09-04",4236.31,0.204968,295.17,0.017625,517.24,0.850526,65.21,1.03
"2017-09-05","2017-09-05",4376.53,0.215189,312.99,0.018567,541.71,0.883708,71.29,1
"2017-09-06","2017-09-06",4597.12,0.226186,334.34,0.020346,638.18,0.914359,80.11,1.01
"2017-09-07","2017-09-07",4599.88,0.22364,329.43,0.020096,652.85,0.977272,78.48,1
"2017-09-08","2017-09-08",4228.75,0.211518,296.5,0.017447,583.1,0.832764,67.79,1.01
"2017-09-09","2017-09-09",4226.06,0.209995,294.4,0.017095,547.47,0.791608,66.01,1
"2017-09-10","2017-09-10",4122.94,0.213031,288.75,0.016269,537.07,0.739763,61.61,1.01
"2017-09-11","2017-09-11",4161.27,0.214441,294.53,0.016993,537.81,0.730869,66.04,1
"2017-09-12","2017-09-12",4130.81,0.209303,291.46,0.016324,510.41,0.836077,64.23,1.01
"2017-09-13","2017-09-13",3882.59,0.200778,277.11,0.015328,503.61,0.728994,61.73,1
"2017-09-14","2017-09-14",3154.95,0.164167,213.91,0.011038,367.04,0.603217,41.58,1
"2017-09-15","2017-09-15",3637.52,0.181358,250.46,0.012097,424.02,0.664289,48.21,1.01
"2017-09-16","2017-09-16",3625.04,0.179082,246.52,0.011699,440.22,0.627565,48.26,1
"2017-09-17","2017-09-17",3582.88,0.178393,251.75,0.011211,419.86,0.648592,48.49,1.01
"2017-09-18","2017-09-18",4065.2,0.189768,293.5,0.013455,479.32,0.704878,55.53,1
"2017-09-19","2017-09-19",3924.97,0.184041,282.8,0.011795,527.88,0.653363,52.84,1
"2017-09-20","2017-09-20",3905.95,0.182078,283.74,0.012236,476.05,0.612827,51.73,1
"2017-09-21","2017-09-21",3631.04,0.171754,258.58,0.0106,416.26,0.546153,46.61,1
"2017-09-22","2017-09-22",3630.7,0.17351,264.31,0.010776,415.09,0.569846,48.09,1
"2017-09-23","2017-09-23",3792.4,0.177882,286.17,0.011896,428.5,0.576697,49.27,1
"2017-09-24","2017-09-24",3682.84,0.175787,282.48,0.011563,421.03,0.546274,47.62,1
"2017-09-25","2017-09-25",3926.07,0.181487,292.33,0.012073,445.8,0.570774,51.58,1
"2017-09-26","2017-09-26",3892.35,0.186119,287.44,0.012388,441.83,0.561128,51.55,1
"2017-09-27","2017-09-27",4200.67,0.203299,306.47,0.014378,457.31,0.633043,56.28,1
"2017-09-28","2017-09-28",4174.73,0.196131,299.15,0.013863,447.81,0.815693,54.09,1
"2017-09-29","2017-09-29",4163.07,0.193606,291.47,0.013204,436.77,0.717272,52.62,0.999863
"2017-09-30","2017-09-30",4338.71,0.197529,301.46,0.013858,432.63,0.721609,55.14,0.996488
"2017-10-01","2017-10-01",4403.74,0.206532,302.34,0.013688,415.15,0.70776,54.54,0.999924
"2017-10-02","2017-10-02",4409.32,0.202676,297.48,0.012962,421.19,0.654973,53.38,1
"2017-10-03","2017-10-03",4317.48,0.203318,292.46,0.012404,404.18,0.63123,52.35,1
"2017-10-04","2017-10-04",4229.36,0.214774,292.66,0.011851,358.45,0.601539,51.4,1
"2017-10-05","2017-10-05",4328.41,0.237016,295.86,0.014576,355.75,0.606157,51.67,1
"2017-10-06","2017-10-06",4370.81,0.234039,308.59,0.018403,363.01,0.599844,52.12,1
"2017-10-07","2017-10-07",4426.89,0.23861,311.12,0.020959,360.78,0.588553,52.58,0.99932
"2017-10-08","2017-10-08",4610.48,0.279944,308.61,0.018598,342.21,0.604501,53.14,0.998442
"2017-10-09","2017-10-09",4772.02,0.251825,297.39,0.017601,314.16,0.557142,50.16,0.99978
"2017-10-10","2017-10-10",4781.99,0.260733,299.87,0.018953,321.59,0.555214,50.72,0.999441
"2017-10-11","2017-10-11",4826.48,0.264439,303.46,0.01945,314.9,0.610223,50.89,0.998625
"2017-10-12","2017-10-12",5446.91,0.248414,304.14,0.017784,313.21,0.591723,60.11,0.997423
"2017-10-13","2017-10-13",5647.21,0.260489,338.76,0.01796,321.46,0.58397,59.43,1
"2017-10-14","2017-10-14",5831.79,0.25732,339.63,0.017522,321.96,0.582836,63.95,0.999709
"2017-10-15","2017-10-15",5678.19,0.263983,336.6,0.018925,314.95,0.571914,65.47,0.999242
"2017-10-16","2017-10-16",5725.59,0.256232,333.38,0.036865,313.64,0.561856,64.62,0.99801
"2017-10-17","2017-10-17",5605.51,0.232064,317.08,0.045842,371.73,0.552144,59.48,0.999335
"2017-10-18","2017-10-18",5590.69,0.21852,314.32,0.035133,339.17,0.546006,60.73,1
"2017-10-19","2017-10-19",5708.52,0.21515,308.09,0.031195,330.81,0.566708,59.74,1
"2017-10-20","2017-10-20",6011.45,0.210549,304.01,0.026757,327.44,0.540684,60.33,1
"2017-10-21","2017-10-21",6031.6,0.211016,300.19,0.036429,323.36,0.526792,58.2,1
"2017-10-22","2017-10-22",6008.42,0.204177,295.45,0.031269,331.66,0.51797,56.81,1
"2017-10-23","2017-10-23",5930.32,0.196928,286.95,0.033832,315.6,0.493225,54.92,0.996536
"2017-10-24","2017-10-24",5526.64,0.206644,298.33,0.036649,326.89,0.514935,55.96,1
"2017-10-25","2017-10-25",5750.8,0.204604,297.92,0.035004,332.13,0.504073,56.49,1
"2017-10-26","2017-10-26",5904.83,0.203628,296.53,0.034546,338.2,0.518944,55.74,0.999868
