"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2017-10-01","2017-10-01",4403.74,302.34,0.206532,415.15,54.54,0.024969,35.72,0.013688,0.70776,315.8,93.22,0.610183,0.24618,12.74,0.001848,0.174829,5.51,0.999924
"2017-10-02","2017-10-02",4409.32,297.48,0.202676,421.19,53.38,0.025932,36.74,0.012962,0.654973,308.69,91.54,0.575398,0.231441,12.44,0.002803,0.298296,5.42,1
"2017-10-03","2017-10-03",4317.48,292.46,0.203318,404.18,52.35,0.020816,33.61,0.012403,0.63123,296.24,92.96,0.561712,0.22274,12.41,0.002447,0.384378,5.7,1
"2017-10-04","2017-10-04",4229.36,292.66,0.214774,358.45,51.4,0.021931,31.16,0.011851,0.601539,305.46,90.41,0.546982,0.218456,11.97,0.00325,0.303379,5.53,1
"2017-10-05","2017-10-05",4328.41,295.86,0.237016,355.75,51.67,0.021489,32.28,0.014576,0.606157,305.4,91.86,0.540915,0.211072,11.95,0.00332,0.334141,5.41,1
"2017-10-06","2017-10-06",4370.81,308.59,0.234039,363.01,52.12,0.018539,33.52,0.018403,0.599844,306.88,91.19,0.503448,0.211324,12.34,0.002996,0.305081,5.34,1
"2017-10-07","2017-10-07",4426.89,311.12,0.23861,360.78,52.58,0.020941,36.14,0.020959,0.588553,310.49,91.7,0.538529,0.212189,12.28,0.002459,0.306751,5.19,0.99932
"2017-10-08","2017-10-08",4610.48,308.61,0.279944,342.21,53.14,0.020477,32.07,0.018598,0.604501,302.48,89.77,0.500032,0.194807,12.12,0.00253,0.255845,4.66,0.998442
"2017-10-09","2017-10-09",4772.02,297.39,0.251825,314.16,50.16,0.022114,29.1,0.017601,0.557142,283.67,85.49,0.469438,0.194931,11.5,0.002181,0.275482,4.7,0.99978
"2017-10-10","2017-10-10",4781.99,299.87,0.260733,321.59,50.72,0.021531,29.31,0.018953,0.555214,291.27,86.82,0.477576,0.209909,11.54,0.002225,0.263492,4.92,0.999441
"2017-10-11","2017-10-11",4826.48,303.46,0.264439,314.9,50.89,0.02252,29.96,0.01945,0.610223,298.4,87.42,0.481464,0.214811,11.49,0.00247,0.23587,5.36,0.998625
"2017-10-12","2017-10-12",5446.91,304.14,0.248414,313.21,60.11,0.026252,28.18,0.017784,0.591723,291.91,87.09,0.412417,0.206147,11.96,0.002345,0.221142,4.98,0.997423
"2017-10-13","2017-10-13",5647.21,338.76,0.260489,321.46,59.43,0.033641,29.35,0.01796,0.58397,310.38,95.13,0.441595,0.211569,12.18,0.002113,0.201706,4.9,1
"2017-10-14","2017-10-14",5831.79,339.63,0.25732,321.96,63.95,0.032465,27.8,0.017522,0.582836,316.69,100.23,0.457837,0.210581,12.26,0.002394,0.235085,4.79,0.999709
"2017-10-15","2017-10-15",5678.19,336.6,0.263983,314.95,65.47,0.030049,27.73,0.018925,0.571914,309.51,94.87,0.438429,0.2073,11.95,0.002286,0.222695,4.91,0.999242
