<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDRUB_TOM,D,2012-01-03,000000,31.95,32.03,31.5,31.715,557453000,0
USDRUB_TOM,D,2012-01-04,000000,31.7,31.95,31.5,31.78,619377000,0
USDRUB_TOM,D,2012-01-05,000000,31.8001,32.1899,31.685,32.02,664291000,0
USDRUB_TOM,D,2012-01-06,000000,32.0501,32.1802,31.5001,31.99,415482000,0
USDRUB_TOM,D,2012-01-09,000000,32.0399,32.0399,31.8201,31.94,400871000,0
USDRUB_TOM,D,2012-01-10,000000,31.9199,31.9225,31.4975,31.56,4116723000,0
USDRUB_TOM,D,2012-01-11,000000,31.65,31.8,31.6125,31.7925,5421575000,0
USDRUB_TOM,D,2012-01-12,000000,31.72,31.7299,31.515,31.553,4964168000,0
USDRUB_TOM,D,2012-01-13,000000,31.57,31.8625,31.55,31.8625,4783568000,0
USDRUB_TOM,D,2012-01-16,000000,31.935,31.975,31.67,31.67,4514838000,0
USDRUB_TOM,D,2012-01-17,000000,31.53,31.6645,31.47,31.6526,6826062000,0
USDRUB_TOM,D,2012-01-18,000000,31.5896,31.5999,31.4801,31.5075,5841624000,0
USDRUB_TOM,D,2012-01-19,000000,31.4524,31.5413,31.347,31.35,4651231000,0
USDRUB_TOM,D,2012-01-20,000000,31.2351,31.4,31.235,31.34,4998090000,0
USDRUB_TOM,D,2012-01-23,000000,31.36,31.3774,30.87,30.89,5702387000,0
USDRUB_TOM,D,2012-01-24,000000,30.89,30.9375,30.8157,30.86,5541018000,0
USDRUB_TOM,D,2012-01-25,000000,30.75,30.7687,30.555,30.72,6619077000,0
USDRUB_TOM,D,2012-01-26,000000,30.4,30.4475,30.2,30.2,5636995000,0
USDRUB_TOM,D,2012-01-27,000000,30.35,30.4174,30.23,30.29,4711822000,0
USDRUB_TOM,D,2012-01-30,000000,30.255,30.47,30.255,30.425,4955293000,0
USDRUB_TOM,D,2012-01-31,000000,30.285,30.36,29.9,30.175,7259898000,0
USDRUB_TOM,D,2012-02-01,000000,30.3599,30.435,30.13,30.225,6183673000,0
USDRUB_TOM,D,2012-02-02,000000,30.1319,30.3661,30.1319,30.2,5589840000,0
USDRUB_TOM,D,2012-02-03,000000,30.2298,30.2898,30.1201,30.19,4199693000,0
USDRUB_TOM,D,2012-02-06,000000,30.23,30.3,30.1051,30.12,4843699000,0
USDRUB_TOM,D,2012-02-07,000000,30.1,30.115,29.805,29.825,5879646000,0
USDRUB_TOM,D,2012-02-08,000000,29.72,29.815,29.65,29.785,5643254000,0
USDRUB_TOM,D,2012-02-09,000000,29.7274,29.8549,29.6522,29.72,5141659000,0
USDRUB_TOM,D,2012-02-10,000000,29.7901,30.1032,29.79,30.08,5731859000,0
USDRUB_TOM,D,2012-02-13,000000,29.9099,29.95,29.8206,29.9,3730395000,0
