dairy	month
89.71	1990.01
79.29	1990.02
92.72	1990.03
95.12	1990.04
101.94	1990.05
92.02	1990.06
94.72	1990.07
90.11	1990.08
86.8	1990.09
85.7	1990.1
86.1	1990.11
87	1990.12
86.1	1991.01
77.08	1991.02
90.41	1991.03
90.91	1991.04
98.03	1991.05
89.41	1991.06
92.22	1991.07
85.4	1991.08
83	1991.09
84.2	1991.1
80.89	1991.11
86.7	1991.12
85.4	1992.01
80.39	1992.02
90.91	1992.03
90.41	1992.04
103.34	1992.05
97.53	1992.06
94.42	1992.07
91.62	1992.08
88.21	1992.09
85.8	1992.1
84.1	1992.11
86.4	1992.12
87.21	1993.01
81.79	1993.02
94.62	1993.03
95.93	1993.04
103.24	1993.05
102.44	1993.06
100.94	1993.07
98.93	1993.08
94.92	1993.09
93.22	1993.1
90.61	1993.11
92.82	1993.12
92.02	1994.01
85.46	1994.02
95.46	1994.03
94.28	1994.04
110.53	1994.05
107.05	1994.06
105.96	1994.07
102.88	1994.08
92.87	1994.09
95.63	1994.1
96.97	1994.11
94.86	1994.12
93.95	1995.01
86.15	1995.02
96.88	1995.03
103.01	1995.04
115.16	1995.05
108.04	1995.06
107.19	1995.07
106.1	1995.08
93.61	1995.09
99.79	1995.1
96.6	1995.11
96.11	1995.12
100.06	1996.01
89.77	1996.02
93.91	1996.03
103.56	1996.04
114.71	1996.05
110.49	1996.06
108.33	1996.07
99.9	1996.08
91.7	1996.09
92.57	1996.1
85.85	1996.11
90.8	1996.12
94.93	1997.01
88.06	1997.02
105.71	1997.03
106.75	1997.04
110.84	1997.05
106.7	1997.06
104.94	1997.07
100.76	1997.08
90.06	1997.09
93.25	1997.1
87.46	1997.11
92.1	1997.12
109	1998.01
101.88	1998.02
117.7	1998.03
119.29	1998.04
134.6	1998.05
120.14	1998.06
122.81	1998.07
117.01	1998.08
106.84	1998.09
105.06	1998.1
96.04	1998.11
104.26	1998.12
105.91	1999.01
101.94	1999.02
118.62	1999.03
123.5	1999.04
135.14	1999.05
126.83	1999.06
130.56	1999.07
120.99	1999.08
112.45	1999.09
107.71	1999.1
105.06	1999.11
105.74	1999.12
108.76	2000.01
105.33	2000.02
117.35	2000.03
119.51	2000.04
134.72	2000.05
124.26	2000.06
122.93	2000.07
116.64	2000.08
104.54	2000.09
104.61	2000.1
102.63	2000.11
108.29	2000.12
101.34	2001.01
97.02	2001.02
111.74	2001.03
110.51	2001.04
121.62	2001.05
113.54	2001.06
112.6	2001.07
105.79	2001.08
96.4	2001.09
96.48	2001.1
95.34	2001.11
98.05	2001.12
102.53	2002.01
98.45	2002.02
112.39	2002.03
117.55	2002.04
125.92	2002.05
113.97	2002.06
115.62	2002.07
108.23	2002.08
98.42	2002.09
96.25	2002.1
89.41	2002.11
96.37	2002.12
99.44	2003.01
93.29	2003.02
106.77	2003.03
109.76	2003.04
121.37	2003.05
113.82	2003.06
111.35	2003.07
105.74	2003.08
97.35	2003.09
97.72	2003.1
94.03	2003.11
97.59	2003.12
99.26	2004.01
94.11	2004.02
104.23	2004.03
109.02	2004.04
116.3	2004.05
111.74	2004.06
109.35	2004.07
106.22	2004.08
96.18	2004.09
96.42	2004.1
91.97	2004.11
98.05	2004.12
99.08	2005.01
95.16	2005.02
106.46	2005.03
107.83	2005.04
116.82	2005.05
109.7	2005.06
105.12	2005.07
102.49	2005.08
93.42	2005.09
93.66	2005.1
88.6	2005.11
92.91	2005.12
95.75	2006.01
89.57	2006.02
103.91	2006.03
102.91	2006.04
109.93	2006.05
105.4	2006.06
104.08	2006.07
99.97	2006.08
93.42	2006.09
95.1	2006.1
89.18	2006.11
93.96	2006.12
98.81	2007.01
91.54	2007.02
105.03	2007.03
109.77	2007.04
114.34	2007.05
105.23	2007.06
100.35	2007.07
101.03	2007.08
91.94	2007.09
92.35	2007.1
90.08	2007.11
94.19	2007.12
94.44	2008.01
88.07	2008.02
99.03	2008.03
99.56	2008.04
104.26	2008.05
96.27	2008.06
94.89	2008.07
94.66	2008.08
86.57	2008.09
89.27	2008.1
86.28	2008.11
92.33	2008.12
91.41	2009.01
84.25	2009.02
97.56	2009.03
102.16	2009.04
105.52	2009.05
100.65	2009.06
98.92	2009.07
94.28	2009.08
90.23	2009.09
88.45	2009.1
85.03	2009.11
91.66	2009.12
