Date,Open,High,Low,Close,Volume,Adj Close
2014-03-18,5335.20,5377.00,5335.20,5360.20,000,5360.20
2014-03-17,5347.10,5348.10,5329.40,5335.20,809164700,5335.20
2014-03-14,5429.10,5429.10,5347.10,5347.10,839875800,5347.10
2014-03-13,5400.50,5441.10,5400.50,5429.10,936397100,5429.10
2014-03-12,5429.30,5429.30,5362.90,5400.50,996730300,5400.50
2014-03-11,5430.80,5448.10,5420.30,5429.30,1120688900,5429.30
2014-03-10,5477.00,5477.00,5429.30,5430.80,887651700,5430.80
2014-03-07,5459.70,5477.30,5458.30,5477.00,927284300,5477.00
2014-03-06,5457.30,5459.70,5435.70,5459.70,947579800,5459.70
2014-03-05,5417.20,5464.60,5417.20,5457.30,1159838200,5457.30
2014-03-04,5395.90,5418.40,5383.50,5411.70,927598000,5411.70
2014-03-03,5415.40,5415.40,5355.20,5397.40,973398500,5397.40
2014-02-28,5421.00,5449.20,5412.30,5415.40,1273464300,5415.40
2014-02-27,5447.00,5447.00,5416.00,5421.00,1042643300,5421.00
2014-02-26,5444.00,5461.30,5433.70,5447.00,1127947600,5447.00
2014-02-25,5450.10,5471.80,5438.20,5444.00,965084300,5444.00
2014-02-24,5449.50,5466.00,5436.60,5450.10,970497700,5450.10
2014-02-21,5421.30,5460.40,5421.30,5449.40,1006726900,5449.40
2014-02-20,5415.50,5449.50,5409.30,5421.30,1251995200,5421.30
2014-02-19,5404.60,5428.00,5402.20,5415.50,1033631300,5415.50
2014-02-18,5394.80,5408.00,5388.90,5402.20,887321700,5402.20
2014-02-17,5394.80,5408.00,5394.80,5400.20,1771270800,5400.20
2014-02-14,5318.70,5366.90,5318.70,5366.90,879978700,5366.90
2014-02-13,5319.50,5342.50,5314.40,5318.70,902420100,5318.70
2014-02-12,5267.30,5319.80,5267.30,5319.80,1068699200,5319.80
2014-02-11,5236.50,5273.60,5220.50,5267.30,909941100,5267.30
2014-02-10,5184.50,5236.50,5184.50,5236.50,709950700,5236.50
2014-02-07,5147.40,5184.70,5147.40,5184.50,923197400,5184.50
2014-02-06,5088.70,5147.40,5088.70,5147.40,799811000,5147.40
2014-02-05,5114.10,5128.60,5072.70,5088.70,852644800,5088.70
2014-02-04,5201.90,5201.90,5109.20,5114.10,1025023800,5114.10
2014-02-03,5205.10,5212.50,5179.00,5201.90,612331500,5201.90
2014-01-31,5199.40,5209.90,5184.40,5205.10,846221600,5205.10
2014-01-30,5240.60,5240.60,5175.20,5199.40,832158900,5199.40
2014-01-29,5188.00,5240.60,5188.00,5240.60,744763700,5240.60
2014-01-28,5254.30,5254.30,5174.40,5188.00,904430700,5188.00
