Date,Open,High,Low,Close,Volume,Adj Close
2014-03-18,2435.48,2493.99,2432.11,2476.70,5775500,2476.70
2014-03-17,2387.06,2439.73,2387.06,2434.07,5262500,2434.07
2014-03-14,2407.69,2407.69,2370.97,2386.96,8292700,2386.96
2014-03-13,2451.74,2465.35,2407.78,2407.78,5699700,2407.78
2014-03-12,2488.20,2494.50,2439.32,2452.01,7888400,2452.01
2014-03-11,2508.97,2526.83,2489.36,2489.36,5022100,2489.36
2014-03-10,2540.57,2540.57,2509.20,2509.20,4776400,2509.20
2014-03-07,2576.86,2578.89,2539.63,2542.37,5089700,2542.37
2014-03-06,2545.47,2581.53,2545.47,2577.27,6044600,2577.27
2014-03-05,2548.49,2553.66,2537.63,2545.71,4773700,2545.71
2014-03-04,2497.23,2555.84,2497.23,2548.21,6999400,2548.21
2014-03-03,2587.49,2587.49,2483.63,2494.38,12376500,2494.38
2014-02-28,2644.71,2647.82,2566.10,2587.86,11546600,2587.86
2014-02-27,2674.76,2675.67,2624.02,2642.75,6927000,2642.75
2014-02-26,2683.87,2692.17,2670.61,2676.98,5442900,2676.98
2014-02-25,2678.35,2683.91,2666.30,2683.13,4840600,2683.13
2014-02-24,2662.95,2678.01,2649.65,2678.01,4481700,2678.01
2014-02-21,2639.47,2664.06,2639.47,2663.27,5054300,2663.27
2014-02-20,2637.82,2639.43,2607.82,2639.40,5917100,2639.40
2014-02-19,2660.13,2660.13,2622.91,2637.82,5603500,2637.82
2014-02-18,2656.47,2663.19,2648.24,2660.18,5189600,2660.18
2014-02-17,2642.23,2656.66,2641.25,2654.75,4196500,2654.75
2014-02-14,2613.86,2640.45,2613.24,2640.45,5814900,2640.45
2014-02-13,2657.27,2658.91,2609.67,2612.85,8664000,2612.85
2014-02-12,2641.34,2655.21,2632.33,2655.06,5453800,2655.06
2014-02-11,2593.04,2641.60,2593.04,2641.58,6380400,2641.58
2014-02-10,2595.81,2605.00,2586.78,2590.77,4471000,2590.77
2014-02-07,2566.30,2594.39,2566.30,2594.39,5327800,2594.39
2014-02-06,2544.37,2570.49,2540.97,2566.11,5559600,2566.11
2014-02-05,2521.82,2547.74,2521.82,2542.30,4956100,2542.30
2014-02-04,2525.96,2528.16,2505.68,2520.24,7358600,2520.24
2014-02-03,2561.86,2574.15,2525.92,2525.92,5101100,2525.92
2014-01-31,2583.74,2595.51,2543.45,2559.74,7523400,2559.74
2014-01-30,2599.34,2601.20,2578.15,2582.01,7790400,2582.01
2014-01-29,2646.24,2692.64,2593.76,2599.78,7488800,2599.78
2014-01-28,2605.37,2645.74,2605.37,2645.74,5132000,2645.74
2014-01-27,2629.02,2629.38,2588.82,2604.89,6616100,2604.89
2014-01-24,2680.11,2685.67,2625.62,2626.61,9183800,2626.61
2014-01-23,2707.05,2720.43,2678.55,2680.26,13589900,2680.26
2014-01-22,2696.11,2710.93,2685.66,2707.21,6428900,2707.21
2014-01-21,2704.82,2707.53,2690.89,2696.15,3812200,2696.15
2014-01-20,2722.02,2723.53,2696.08,2704.92,4292700,2704.92
2014-01-17,2713.21,2723.31,2701.68,2721.76,6079800,2721.76
2014-01-16,2729.20,2730.45,2703.81,2713.04,8316400,2713.04
2014-01-15,2685.38,2729.07,2685.38,2729.07,8010400,2729.07
2014-01-14,2692.53,2692.66,2665.98,2686.00,5821000,2686.00
2014-01-13,2678.04,2699.86,2671.90,2692.27,5335500,2692.27
2014-01-10,2672.63,2687.53,2670.31,2678.04,4729800,2678.04
2014-01-09,2670.33,2682.11,2649.48,2673.26,7609700,2673.26
2014-01-08,2630.39,2672.74,2630.39,2669.31,7357400,2669.31
2014-01-07,2552.56,2631.05,2552.56,2630.09,6811000,2630.09
2014-01-03,2533.91,2563.95,2527.61,2553.38,3541100,2553.38
2014-01-02,2548.74,2566.04,2533.77,2533.77,3522200,2533.77
2013-12-30,2553.61,2563.39,2542.30,2546.54,3081900,2546.54
2013-12-27,2531.92,2558.06,2531.92,2550.43,2639100,2550.43
