D	O	H	L	C	V	S	L
27.04.1993	24.80	25.40	24.50	24.50			
28.04.1993	24.50	24.60	23.70	24.30		-0.008163	-0.008197
29.04.1993	24.30	24.80	23.70	23.70		-0.024691	-0.025001
30.04.1993	23.70	24.20	23.70	24.10		0.016878	0.016737
03.05.1993	24.10	24.40	23.80	24.10		0.000000	0.000000
04.05.1993	24.10	25.00	24.10	24.90		0.033195	0.032656
05.05.1993	24.90	24.90	24.30	24.60		-0.012048	-0.012121
06.05.1993	24.60	25.70	24.60	25.60		0.040650	0.039846
07.05.1993	25.60	26.10	25.50	25.80		0.007812	0.007782
10.05.1993	25.80	25.80	25.10	25.20		-0.023256	-0.023530
11.05.1993	25.20	26.30	25.10	26.30		0.043651	0.042725
12.05.1993	26.30	27.10	26.20	26.70		0.015209	0.015095
13.05.1993	26.70	27.60	26.70	27.40		0.026217	0.025879
14.05.1993	27.40	27.90	27.40	27.80		0.014599	0.014493
17.05.1993	27.80	29.30	27.70	29.30		0.053957	0.052551
18.05.1993	29.30	30.00	29.30	29.50		0.006826	0.006803
19.05.1993	29.50	30.30	29.50	29.90		0.013559	0.013468
20.05.1993	29.90	32.10	29.90	32.00		0.070234	0.067877
21.05.1993	32.00	33.50	31.70	33.20		0.037500	0.036814
24.05.1993	33.20	34.30	33.20	33.80		0.018072	0.017911
25.05.1993	33.80	34.50	33.80	34.40		0.017751	0.017596
26.05.1993	34.40	35.60	34.40	35.00		0.017442	0.017291
27.05.1993	35.00	35.10	34.70	34.80		-0.005714	-0.005731
28.05.1993	34.90	34.90	34.90	34.90		0.002874	0.002869
31.05.1993	34.90	34.90	34.90	34.90		0.000000	0.000000
01.06.1993	35.40	37.20	35.40	37.20		0.065903	0.063822
02.06.1993	37.80	39.60	37.80	39.30		0.056452	0.054916
03.06.1993	39.50	40.90	38.80	40.80		0.038168	0.037458
04.06.1993	41.10	42.00	40.50	41.20		0.009804	0.009756
07.06.1993	41.00	43.30	41.00	42.20		0.024272	0.023982
08.06.1993	42.40	43.00	42.00	42.20		0.000000	0.000000
09.06.1993	42.20	42.30	41.20	41.50		-0.016588	-0.016727
11.06.1993	44.60	44.90	44.60	44.90		0.081928	0.078744
14.06.1993	44.90	46.00	44.50	45.20		0.006682	0.006659
15.06.1993	45.20	47.60	45.20	45.90		0.015487	0.015368
16.06.1993	45.90	49.40	45.90	49.40		0.076253	0.073485
17.06.1993	49.40	53.10	44.40	47.10		-0.046559	-0.047677
18.06.1993	47.10	49.10	46.50	47.40		0.006369	0.006349
21.06.1993	47.40	48.90	47.10	47.90		0.010549	0.010493
22.06.1993	47.90	49.60	47.30	49.50		0.033403	0.032857
23.06.1993	49.50	51.30	48.10	48.10		-0.028283	-0.028690
24.06.1993	48.10	49.30	47.70	48.70		0.012474	0.012397
25.06.1993	48.70	52.20	48.70	52.20		0.071869	0.069403
28.06.1993	52.20	54.80	51.00	53.60		0.026820	0.026467
29.06.1993	53.60	54.60	52.70	52.90		-0.013060	-0.013146
30.06.1993	52.90	54.20	52.90	53.70		0.015123	0.015010
01.07.1993	53.70	55.10	52.10	52.30		-0.026071	-0.026417
02.07.1993	52.30	53.60	51.70	52.30		0.000000	0.000000
05.07.1993	53.90	54.90	53.80	54.90		0.049713	0.048517
06.07.1993	55.30	56.70	55.30	56.10		0.021858	0.021622
07.07.1993	56.10	57.60	56.10	57.50		0.024955	0.024649
08.07.1993	57.50	58.00	56.40	57.10		-0.006957	-0.006981
09.07.1993	57.10	58.80	57.10	58.80		0.029772	0.029338
12.07.1993	58.80	60.60	58.80	59.70		0.015306	0.015190
13.07.1993	59.70	60.50	59.30	60.40		0.011725	0.011657
14.07.1993	60.40	60.40	57.80	58.00		-0.039735	-0.040546
15.07.1993	58.00	58.80	56.80	57.10		-0.015517	-0.015639
16.07.1993	57.10	58.60	56.50	58.30		0.021016	0.020798
19.07.1993	58.30	59.30	58.30	59.20		0.015437	0.015319
20.07.1993	59.20	62.30	59.20	62.30		0.052365	0.051040
21.07.1993	62.30	63.20	62.20	62.30		0.000000	0.000000
22.07.1993	62.30	62.30	60.60	61.70		-0.009631	-0.009677
23.07.1993	61.70	64.30	61.70	63.50		0.029173	0.028756
26.07.1993	63.50	63.70	61.50	61.80		-0.026772	-0.027137
27.07.1993	61.80	62.30	61.10	62.10		0.004854	0.004843
28.07.1993	62.10	64.40	62.10	63.80		0.027375	0.027007
29.07.1993	63.80	66.30	63.80	66.10		0.036050	0.035416
30.07.1993	66.10	67.40	65.60	65.60		-0.007564	-0.007593
02.08.1993	65.60	65.70	62.40	62.70		-0.044207	-0.045214
03.08.1993	62.70	63.40	61.70	62.60		-0.001595	-0.001596
04.08.1993	62.60	64.30	61.60	61.80		-0.012780	-0.012862
05.08.1993	61.80	63.10	60.60	62.70		0.014563	0.014458
06.08.1993	62.70	64.60	62.70	64.20		0.023923	0.023642
09.08.1993	64.20	65.80	63.70	64.30		0.001558	0.001556
10.08.1993	64.30	67.50	64.30	67.50		0.049767	0.048568
11.08.1993	67.50	70.10	67.50	69.90		0.035556	0.034938
12.08.1993	69.90	74.40	69.90	74.00		0.058655	0.056999
13.08.1993	74.00	75.10	72.70	72.70		-0.017568	-0.017724
16.08.1993	72.70	77.80	72.70	77.30		0.063274	0.061353
17.08.1993	77.30	81.20	77.30	80.20		0.037516	0.036830
18.08.1993	80.20	81.50	78.60	79.50		-0.008728	-0.008766
19.08.1993	79.50	85.20	79.50	85.10		0.070440	0.068070
20.08.1993	85.10	89.20	85.10	88.30		0.037603	0.036913
23.08.1993	88.30	90.10	87.30	89.90		0.018120	0.017958
24.08.1993	89.90	92.10	88.40	90.60		0.007786	0.007756
25.08.1993	90.60	92.10	90.50	91.50		0.009934	0.009885
26.08.1993	91.50	97.30	91.50	97.30		0.063388	0.061460
27.08.1993	97.30	99.80	96.90	97.30		0.000000	0.000000
30.08.1993	97.30	100.10	95.30	99.80		0.025694	0.025369
31.08.1993	99.80	99.80	96.30	96.40		-0.034068	-0.034662
01.09.1993	96.40	103.10	96.40	102.60		0.064315	0.062332
02.09.1993	102.60	110.10	102.60	109.90		0.071150	0.068733
03.09.1993	109.90	111.90	108.30	111.80		0.017288	0.017141
06.09.1993	111.80	116.20	111.80	116.20		0.039356	0.038601
08.09.1993	116.20	122.40	116.20	117.50		0.011188	0.011125
09.09.1993	117.50	118.80	116.10	118.20		0.005957	0.005940
10.09.1993	120.60	123.70	120.60	123.10		0.041455	0.040619
13.09.1993	123.10	126.80	121.20	123.20		0.000812	0.000812
14.09.1993	123.20	123.40	118.50	120.30		-0.023539	-0.023820
15.09.1993	120.30	124.00	119.50	124.00		0.030756	0.030293
16.09.1993	124.00	129.30	124.00	127.80		0.030645	0.030185
17.09.1993	127.80	139.20	127.80	138.90		0.086854	0.083288
20.09.1993	138.90	141.40	136.70	138.10		-0.005760	-0.005776
21.09.1993	138.10	139.10	133.80	134.70		-0.024620	-0.024928
22.09.1993	134.70	139.40	133.00	136.20		0.011136	0.011074
23.09.1993	136.20	143.20	136.20	143.00		0.049927	0.048720
24.09.1993	143.00	149.40	141.50	142.70		-0.002098	-0.002100
27.09.1993	142.70	142.70	139.10	139.10		-0.025228	-0.025551
28.09.1993	139.10	143.90	139.10	143.80		0.033789	0.033230
29.09.1993	143.90	149.40	143.90	147.40		0.025035	0.024727
30.09.1993	147.40	150.30	146.50	146.60		-0.005427	-0.005442
01.10.1993	146.60	150.30	146.60	148.30		0.011596	0.011529
04.10.1993	148.30	150.10	147.20	147.20		-0.007417	-0.007445
05.10.1993	147.20	153.80	147.20	153.40		0.042120	0.041257
06.10.1993	153.40	159.40	152.20	157.80		0.028683	0.028280
07.10.1993	157.80	167.50	157.80	167.00		0.058302	0.056665
08.10.1993	167.00	173.50	167.00	172.90		0.035329	0.034720
11.10.1993	172.90	181.00	172.90	180.70		0.045113	0.044125
13.10.1993	180.70	187.70	180.70	184.60		0.021583	0.021353
14.10.1993	184.60	207.00	183.90	187.00		0.013001	0.012917
15.10.1993	187.00	189.90	185.70	189.40		0.012834	0.012753
18.10.1993	189.40	190.40	171.40	171.40		-0.095037	-0.099861
19.10.1993	171.40	179.40	163.20	176.70		0.030922	0.030453
20.10.1993	176.70	176.70	162.80	166.00		-0.060555	-0.062466
21.10.1993	161.10	165.20	149.80	150.30		-0.094578	-0.099354
22.10.1993	150.30	167.70	150.30	166.90		0.110446	0.104762
25.10.1993	166.90	166.90	155.60	156.10		-0.064709	-0.066898
26.10.1993	156.10	164.40	156.10	164.30		0.052530	0.051197
27.10.1993	164.30	179.80	164.30	179.80		0.094340	0.090151
28.10.1993	179.80	183.10	174.60	177.50		-0.012792	-0.012875
29.10.1993	177.50	185.20	174.80	184.40		0.038873	0.038137
01.11.1993	184.40	203.60	184.40	203.60		0.104121	0.099050
03.11.1993	203.60	205.60	197.80	201.50		-0.010314	-0.010368
