D	O	H	L	C	V	S	N
23.04.1984	2376.00	2376.00	2374.00	2374.00			
24.04.1984	2438.00	2438.00	2354.00	2354.00		-0.008425	-0.008460
25.04.1984	2365.00	2430.00	2365.00	2397.00		0.018267	0.018102
26.04.1984	2325.00	2381.00	2303.00	2360.00		-0.015436	-0.015556
27.04.1984	2351.00	2421.00	2300.00	2392.00		0.013559	0.013468
09.05.1984	2333.00	2336.00	2325.00	2325.00		-0.028010	-0.028410
10.05.1984	2332.00	2423.00	2318.00	2321.00		-0.001720	-0.001722
15.08.1984	2369.00	2369.00	2360.00	2360.00		0.016803	0.016663
16.08.1984	2268.00	2367.00	2268.00	2331.00		-0.012288	-0.012364
17.08.1984	2317.00	2318.00	2282.00	2283.00		-0.020592	-0.020807
20.08.1984	2333.00	2333.00	2260.00	2319.00		0.015769	0.015646
21.08.1984	2314.00	2406.00	2314.00	2395.00		0.032773	0.032247
22.08.1984	2395.00	2396.00	2388.00	2388.00		-0.002923	-0.002927
23.08.1984	2288.00	2376.00	2272.00	2376.00		-0.005025	-0.005038
24.08.1984	2366.00	2366.00	2316.00	2364.00		-0.005051	-0.005063
27.08.1984	2334.00	2349.00	2307.00	2349.00		-0.006345	-0.006365
28.08.1984	2359.00	2381.00	2359.00	2381.00		0.013623	0.013531
29.08.1984	2332.00	2338.00	2323.00	2323.00		-0.024360	-0.024661
30.08.1984	2323.00	2338.00	2284.00	2300.00		-0.009901	-0.009950
31.08.1984	2322.00	2388.00	2322.00	2388.00		0.038261	0.037547
04.09.1984	2391.00	2393.00	2388.00	2389.00		0.000419	0.000419
05.09.1984	2391.00	2391.00	2366.00	2366.00		-0.009627	-0.009674
06.09.1984	2368.00	2371.00	2364.00	2370.00		0.001691	0.001689
07.09.1984	2375.00	2376.00	2353.00	2356.00		-0.005907	-0.005925
10.09.1984	2342.00	2345.00	2335.00	2343.00		-0.005518	-0.005533
11.09.1984	2351.00	2357.00	2345.00	2345.00		0.000854	0.000853
