Date,Open,High,Low,Close,Volume,Adj Close
2014-03-18,3631.34,3681.54,3628.56,3673.62,000,3673.62
2014-03-17,3611.78,3633.73,3611.78,3631.28,000,3631.28
2014-03-14,3630.04,3635.06,3607.32,3611.65,000,3611.65
2014-03-13,3623.29,3638.34,3607.26,3630.76,000,3630.76
2014-03-12,3659.05,3659.05,3619.15,3623.29,000,3623.29
2014-03-11,3656.62,3669.96,3650.88,3659.30,000,3659.30
2014-03-10,3702.06,3704.57,3651.20,3652.51,000,3652.51
2014-03-07,3732.77,3740.71,3694.99,3697.79,000,3697.79
2014-03-06,3715.36,3736.28,3703.86,3730.39,000,3730.39
2014-03-05,3714.36,3719.06,3697.70,3715.81,000,3715.81
2014-03-04,3661.48,3707.29,3661.48,3703.81,000,3703.81
2014-03-03,3720.03,3720.03,3658.85,3661.64,000,3661.64
2014-02-28,3689.73,3722.86,3682.94,3718.88,000,3718.88
2014-02-27,3675.10,3695.03,3665.41,3689.01,000,3689.01
2014-02-26,3633.86,3682.93,3632.70,3675.28,000,3675.28
2014-02-25,3642.34,3644.44,3628.33,3633.78,000,3633.78
2014-02-24,3626.25,3654.62,3616.62,3640.44,000,3640.44
2014-02-21,3644.27,3644.27,3620.16,3626.69,000,3626.69
2014-02-20,3641.25,3648.34,3615.18,3641.09,000,3641.09
2014-02-19,3648.41,3649.75,3617.32,3641.25,000,3641.25
2014-02-18,3671.66,3684.32,3624.25,3648.03,000,3648.03
2014-02-17,3666.48,3680.12,3656.64,3671.70,000,3671.70
2014-02-14,3600.80,3672.61,3600.80,3666.48,000,3666.48
2014-02-13,3605.69,3606.80,3563.39,3603.95,000,3603.95
2014-02-12,3548.96,3608.84,3548.96,3605.45,000,3605.45
2014-02-11,3507.22,3573.07,3506.42,3548.88,000,3548.88
2014-02-10,3485.78,3505.14,3479.33,3501.00,000,3501.00
2014-02-07,3446.99,3490.60,3435.49,3485.41,000,3485.41
2014-02-06,3412.61,3453.12,3412.61,3446.99,000,3446.99
2014-02-05,3406.43,3413.05,3390.29,3408.89,000,3408.89
2014-02-04,3394.63,3422.17,3393.67,3407.26,000,3407.26
2014-02-03,3442.67,3450.15,3383.64,3393.27,000,3393.27
