D	O	H	L	C	V	S	N
04.01.2000	1368.69	1407.52	1361.21	1406.37			
05.01.2000	1407.83	1433.78	1398.32	1409.68		0.002354	0.002351
06.01.2000	1406.04	1463.96	1400.25	1463.94		0.038491	0.037769
07.01.2000	1477.15	1522.83	1477.15	1516.60		0.035971	0.035340
10.01.2000	1531.71	1546.72	1506.40	1545.11		0.018799	0.018624
11.01.2000	1547.68	1547.71	1468.76	1479.78		-0.042282	-0.043202
12.01.2000	1473.76	1489.28	1435.00	1438.02		-0.028220	-0.028626
13.01.2000	1437.45	1444.07	1418.81	1424.44		-0.009444	-0.009488
14.01.2000	1426.22	1433.47	1401.71	1408.85		-0.010945	-0.011005
17.01.2000	1408.99	1433.38	1402.66	1433.33		0.017376	0.017227
18.01.2000	1436.89	1443.59	1421.64	1426.62		-0.004681	-0.004692
19.01.2000	1425.87	1443.67	1425.14	1440.72		0.009884	0.009835
20.01.2000	1443.09	1466.90	1443.09	1466.86		0.018144	0.017981
21.01.2000	1471.91	1476.46	1458.93	1465.09		-0.001207	-0.001207
24.01.2000	1465.86	1477.41	1449.47	1477.34		0.008361	0.008326
25.01.2000	1476.51	1476.51	1476.51	1476.51		-0.000562	-0.000562
26.01.2000	1477.30	1482.46	1469.98	1481.12		0.003122	0.003117
27.01.2000	1490.45	1506.92	1485.23	1506.77		0.017318	0.017170
28.01.2000	1514.56	1536.35	1510.75	1535.00		0.018735	0.018562
31.01.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
01.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
02.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
03.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
04.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
07.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
08.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
09.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
10.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
11.02.2000	1535.00	1535.00	1535.00	1535.00		0.000000	0.000000
14.02.2000	1591.45	1674.13	1587.82	1673.94		0.090515	0.086650
15.02.2000	1709.22	1746.44	1663.01	1670.67		-0.001953	-0.001955
16.02.2000	1674.94	1695.88	1649.70	1693.11		0.013432	0.013342
17.02.2000	1734.27	1770.88	1615.63	1640.65		-0.030984	-0.031475
18.02.2000	1623.96	1668.16	1583.58	1668.09		0.016725	0.016587
21.02.2000	1681.36	1697.01	1652.48	1677.14		0.005425	0.005411
