D	O	H	L	C	V	S	N
26.11.1990	1466.30	1466.30	1443.20	1443.20			
27.11.1990	1438.30	1438.30	1415.30	1415.30		-0.019332	-0.019521
28.11.1990	1410.00	1431.90	1402.80	1420.60		0.003745	0.003738
29.11.1990	1420.40	1424.60	1415.80	1418.90		-0.001197	-0.001197
30.11.1990	1421.50	1443.90	1421.50	1441.20		0.015716	0.015594
03.12.1990	1470.10	1476.60	1458.70	1462.60		0.014849	0.014740
04.12.1990	1450.10	1450.10	1436.80	1446.30		-0.011145	-0.011207
05.12.1990	1462.90	1473.00	1457.10	1471.00		0.017078	0.016934
06.12.1990	1492.00	1504.70	1483.80	1504.70		0.022910	0.022651
07.12.1990	1505.10	1515.90	1504.70	1512.80		0.005383	0.005369
10.12.1990	1510.00	1521.10	1504.80	1504.80		-0.005288	-0.005302
11.12.1990	1492.80	1493.00	1486.30	1492.70		-0.008041	-0.008073
12.12.1990	1510.00	1520.60	1510.00	1517.20		0.016413	0.016280
13.12.1990	1532.00	1534.80	1516.80	1517.80		0.000395	0.000395
14.12.1990	1508.10	1523.00	1505.10	1522.40		0.003031	0.003026
17.12.1990	1512.40	1512.40	1475.90	1475.90		-0.030544	-0.031020
18.12.1990	1472.60	1483.50	1472.60	1477.40		0.001016	0.001016
19.12.1990	1478.50	1478.50	1452.10	1457.20		-0.013673	-0.013767
20.12.1990	1422.10	1426.00	1409.30	1409.30		-0.032871	-0.033424
21.12.1990	1404.90	1421.50	1404.90	1414.90		0.003974	0.003966
27.12.1990	1414.70	1419.10	1409.20	1410.90		-0.002827	-0.002831
28.12.1990	1403.30	1403.30	1389.00	1398.20		-0.009001	-0.009042
02.01.1991	1375.40	1375.40	1359.10	1366.10		-0.022958	-0.023226
03.01.1991	1371.70	1374.70	1365.20	1366.70		0.000439	0.000439
04.01.1991	1375.40	1398.00	1375.40	1396.10		0.021512	0.021284
07.01.1991	1373.60	1373.60	1352.50	1358.20		-0.027147	-0.027522
08.01.1991	1350.40	1357.10	1345.50	1354.00		-0.003092	-0.003097
09.01.1991	1358.60	1380.80	1358.00	1375.20		0.015657	0.015536
10.01.1991	1367.90	1383.70	1363.10	1383.40		0.005963	0.005945
11.01.1991	1401.30	1406.40	1376.90	1382.30		-0.000795	-0.000795
14.01.1991	1354.50	1354.50	1327.80	1327.80		-0.039427	-0.040225
15.01.1991	1327.00	1330.30	1312.40	1325.60		-0.001657	-0.001658
16.01.1991	1316.10	1329.40	1311.80	1322.70		-0.002188	-0.002190
17.01.1991	1380.30	1422.70	1380.30	1422.70		0.075603	0.072881
18.01.1991	1403.60	1407.30	1394.70	1405.10		-0.012371	-0.012448
21.01.1991	1393.30	1396.50	1390.00	1390.20		-0.010604	-0.010661
22.01.1991	1374.20	1380.10	1367.00	1375.10		-0.010862	-0.010921
23.01.1991	1365.10	1371.00	1355.90	1358.80		-0.011854	-0.011924
24.01.1991	1372.90	1380.40	1372.90	1375.20		0.012069	0.011997
25.01.1991	1382.20	1384.00	1379.30	1382.10		0.005017	0.005005
28.01.1991	1377.50	1385.30	1372.10	1382.70		0.000434	0.000434
29.01.1991	1390.60	1393.20	1379.80	1380.30		-0.001736	-0.001737
30.01.1991	1383.80	1402.20	1383.80	1400.70		0.014779	0.014671
31.01.1991	1411.60	1428.50	1411.20	1420.10		0.013850	0.013755
01.02.1991	1413.20	1428.40	1411.00	1426.50		0.004507	0.004497
04.02.1991	1434.20	1449.30	1434.20	1435.00		0.005959	0.005941
05.02.1991	1451.10	1454.70	1435.90	1438.90		0.002718	0.002714
06.02.1991	1428.80	1428.80	1420.40	1428.70		-0.007089	-0.007114
07.02.1991	1441.60	1445.30	1435.80	1436.30		0.005320	0.005305
08.02.1991	1445.40	1467.90	1441.10	1467.80		0.021931	0.021694
11.02.1991	1488.00	1495.20	1486.10	1488.70		0.014239	0.014139
12.02.1991	1484.20	1486.40	1463.10	1468.90		-0.013300	-0.013389
13.02.1991	1471.70	1491.20	1471.70	1489.40		0.013956	0.013860
14.02.1991	1498.20	1505.50	1486.50	1486.50		-0.001947	-0.001949
15.02.1991	1498.70	1540.70	1495.20	1531.20		0.030071	0.029627
18.02.1991	1535.00	1574.40	1528.70	1572.60		0.027038	0.026679
19.02.1991	1597.20	1604.20	1580.60	1587.10		0.009220	0.009178
20.02.1991	1567.00	1576.00	1558.80	1567.30		-0.012476	-0.012554
21.02.1991	1568.60	1570.70	1562.40	1566.30		-0.000638	-0.000638
22.02.1991	1566.30	1583.10	1566.00	1582.50		0.010343	0.010290
25.02.1991	1605.20	1612.80	1601.10	1601.20		0.011817	0.011747
26.02.1991	1569.10	1569.10	1558.20	1558.20		-0.026855	-0.027222
27.02.1991	1546.40	1567.80	1541.90	1565.50		0.004685	0.004674
28.02.1991	1569.80	1577.80	1541.10	1542.10		-0.014947	-0.015060
01.03.1991	1524.00	1527.30	1516.30	1516.70		-0.016471	-0.016608
04.03.1991	1515.30	1536.10	1515.30	1530.90		0.009362	0.009319
05.03.1991	1540.60	1549.20	1536.90	1540.30		0.006140	0.006121
06.03.1991	1579.50	1596.90	1579.50	1594.30		0.035058	0.034458
07.03.1991	1587.00	1595.40	1580.30	1580.50		-0.008656	-0.008694
08.03.1991	1587.00	1595.40	1580.30	1580.50		0.000000	0.000000
11.03.1991	1590.70	1590.70	1563.70	1565.80		-0.009301	-0.009344
12.03.1991	1575.60	1578.00	1563.40	1571.60		0.003704	0.003697
13.03.1991	1558.70	1562.40	1542.10	1542.20		-0.018707	-0.018884
14.03.1991	1552.60	1576.60	1552.60	1576.60		0.022306	0.022061
15.03.1991	1577.40	1578.10	1565.90	1570.60		-0.003806	-0.003813
18.03.1991	1573.20	1573.50	1551.00	1552.90		-0.011270	-0.011334
19.03.1991	1537.90	1548.30	1531.80	1546.50		-0.004121	-0.004130
20.03.1991	1528.30	1532.50	1517.90	1517.90		-0.018493	-0.018667
21.03.1991	1531.30	1533.40	1517.00	1519.60		0.001120	0.001119
22.03.1991	1507.90	1520.40	1501.40	1520.30		0.000461	0.000461
25.03.1991	1513.90	1517.50	1506.20	1515.50		-0.003157	-0.003162
26.03.1991	1504.90	1507.20	1496.50	1498.40		-0.011283	-0.011348
27.03.1991	1508.50	1516.50	1508.10	1508.80		0.006941	0.006917
28.03.1991	1506.50	1526.90	1506.50	1522.80		0.009279	0.009236
02.04.1991	1522.60	1542.30	1521.90	1538.60		0.010376	0.010322
03.04.1991	1556.70	1579.90	1556.70	1577.50		0.025283	0.024968
