Date,Open,High,Low,Close,Volume,Adj Close
2014-03-18,16794.66,17167.59,16730.00,16961.88,6777200,16961.88
2014-03-17,16157.76,16846.54,16157.76,16791.20,3200900,16791.20
2014-03-14,16140.53,16182.33,15981.97,16157.59,3547300,16157.59
2014-03-13,16342.63,16534.57,16085.08,16140.53,4527100,16140.53
2014-03-12,16616.65,16672.15,16228.95,16343.13,4916000,16343.13
2014-03-11,16796.88,16932.43,16511.28,16617.65,4394900,16617.65
2014-03-10,17124.82,17149.51,16796.88,16796.88,3605200,16796.88
2014-03-07,17394.59,17430.11,17128.50,17130.56,4470400,17130.56
2014-03-06,17472.67,17661.37,17270.41,17394.25,4164900,17394.25
2014-03-05,17748.25,17748.62,17471.84,17471.84,4659600,17471.84
2014-03-04,17132.39,17753.99,17132.39,17753.99,3117100,17753.99
2014-03-03,17740.49,17740.61,16852.81,17115.16,6397000,17115.16
2014-02-28,17382.16,17744.92,17382.16,17744.92,5285100,17744.92
2014-02-27,17794.88,17807.80,17256.97,17376.42,4882700,17376.42
2014-02-26,17752.95,17812.60,17564.00,17794.88,4352800,17794.88
2014-02-25,18223.33,18278.84,17736.88,17753.69,4213200,17753.69
2014-02-24,18069.20,18272.52,18057.72,18221.94,3135400,18221.94
2014-02-21,18114.63,18196.98,18013.14,18110.98,8197900,18110.98
2014-02-20,18257.26,18274.48,17989.39,18096.53,7407800,18096.53
2014-02-19,18285.65,18367.85,18172.05,18272.57,8543400,18272.57
2014-02-18,18299.74,18411.27,18256.29,18327.43,5653500,18327.43
2014-02-17,18288.38,18333.94,18219.24,18299.74,4661400,18299.74
2014-02-14,18039.57,18279.26,18009.67,18249.39,9517900,18249.39
2014-02-13,18094.23,18094.23,17911.83,18028.42,2510700,18028.42
2014-02-12,18307.19,18382.70,18020.90,18062.20,5400800,18062.20
2014-02-11,18115.28,18297.44,18083.81,18297.44,6483700,18297.44
2014-02-10,18119.99,18196.02,18055.77,18115.28,6079100,18115.28
2014-02-07,18104.30,18242.86,18017.24,18106.07,4242000,18106.07
2014-02-06,18364.39,18391.81,18049.50,18087.59,5618900,18087.59
2014-02-05,18538.49,18610.93,18339.32,18339.32,3305900,18339.32
2014-02-04,18524.62,18605.89,18418.52,18510.64,2871700,18510.64
2014-02-03,18947.09,18954.14,18536.42,18552.47,3977100,18552.47
2014-01-31,18626.42,18958.24,18532.33,18958.24,6967200,18958.24
2014-01-30,18546.80,18732.67,18512.98,18616.68,2348700,18616.68
2014-01-29,18763.10,19043.42,18454.66,18546.80,4498200,18546.80
2014-01-28,18855.43,18955.56,18660.95,18707.40,2736300,18707.40
2014-01-27,19074.72,19074.72,18734.62,18799.73,4097300,18799.73
2014-01-24,19562.71,19626.19,19075.39,19075.39,3928300,19075.39
2014-01-23,19575.57,19702.84,19516.12,19544.61,3444700,19544.61
2014-01-22,19476.31,19596.65,19377.86,19596.46,2966900,19596.46
