D	O	H	L	C	V	S	N
01.07.1997	4263.11	4301.77	4247.66	4300.86			
02.07.1997	4302.96	4395.31	4295.40	4333.90		0.007682	0.007653
03.07.1997	4335.79	4393.29	4299.97	4323.46		-0.002409	-0.002412
04.07.1997	4332.70	4347.59	4300.58	4323.82		0.000083	0.000083
07.07.1997	4326.81	4391.01	4289.49	4291.45		-0.007486	-0.007515
08.07.1997	4285.65	4313.00	4252.49	4306.39		0.003481	0.003475
09.07.1997	4315.42	4404.83	4315.42	4404.69		0.022827	0.022570
10.07.1997	4413.39	4448.06	4376.11	4378.37		-0.005975	-0.005993
11.07.1997	4372.75	4372.75	4301.93	4321.98		-0.012879	-0.012963
14.07.1997	4251.70	4251.70	4182.42	4225.02		-0.022434	-0.022690
15.07.1997	4229.89	4261.03	4204.72	4221.02		-0.000947	-0.000947
16.07.1997	4232.53	4263.26	4171.00	4183.42		-0.008908	-0.008948
17.07.1997	4183.91	4202.31	4152.26	4193.61		0.002436	0.002433
18.07.1997	4174.72	4193.72	4115.73	4124.81		-0.016406	-0.016542
21.07.1997	4134.08	4155.50	4105.28	4154.28		0.007145	0.007119
22.07.1997	4161.94	4189.82	4145.65	4186.29		0.007705	0.007676
23.07.1997	4204.83	4258.60	4182.32	4251.13		0.015489	0.015370
24.07.1997	4264.93	4294.95	4223.61	4226.37		-0.005824	-0.005841
25.07.1997	4218.29	4222.73	4159.00	4189.81		-0.008650	-0.008688
28.07.1997	4191.91	4197.21	4163.53	4181.48		-0.001988	-0.001990
29.07.1997	4180.59	4218.98	4171.11	4217.58		0.008633	0.008596
30.07.1997	4230.80	4253.81	4220.18	4244.89		0.006475	0.006454
31.07.1997	4252.37	4331.58	4245.52	4305.76		0.014340	0.014238
01.08.1997	4322.19	4356.55	4314.06	4347.32		0.009652	0.009606
04.08.1997	4392.47	4478.19	4392.47	4465.37		0.027155	0.026793
05.08.1997	4477.50	4548.79	4477.50	4548.02		0.018509	0.018340
06.08.1997	4568.39	4605.41	4505.06	4523.01		-0.005499	-0.005514
07.08.1997	4527.91	4546.91	4439.48	4447.06		-0.016792	-0.016934
08.08.1997	4460.23	4467.18	4373.20	4397.54		-0.011135	-0.011198
11.08.1997	4434.02	4482.51	4423.69	4481.30		0.019047	0.018868
12.08.1997	4496.80	4504.03	4393.24	4425.03		-0.012557	-0.012636
13.08.1997	4419.34	4419.34	4353.32	4370.13		-0.012407	-0.012484
14.08.1997	4372.29	4381.53	4290.13	4320.97		-0.011249	-0.011313
19.08.1997	4277.29	4277.29	4151.63	4165.37		-0.036010	-0.036675
20.08.1997	4166.79	4238.09	4144.47	4234.63		0.016628	0.016491
21.08.1997	4252.05	4265.19	4138.27	4156.16		-0.018531	-0.018704
22.08.1997	4132.99	4144.17	4037.31	4047.67		-0.026103	-0.026450
26.08.1997	4038.58	4110.51	4038.58	4107.24		0.014717	0.014610
27.08.1997	4131.05	4132.62	4085.29	4097.56		-0.002357	-0.002360
28.08.1997	4093.76	4093.76	3960.34	3963.15		-0.032802	-0.033353
29.08.1997	3916.58	3945.67	3851.04	3876.08		-0.021970	-0.022215
01.09.1997	3875.26	3948.92	3854.21	3943.67		0.017438	0.017287
02.09.1997	3944.31	3960.76	3869.61	3950.03		0.001613	0.001611
