D	O	H	L	C	V	S	N
24.09.1986	17718.00	18018.00	17718.00	17956.00		0.024477	0.024182
25.09.1986	17979.00	18078.00	17904.00	17988.00		0.001782	0.001781
26.09.1986	17979.00	18052.00	17871.00	17961.00		-0.001501	-0.001502
29.09.1986	18185.00	18263.00	18094.00	18106.00		0.008073	0.008041
30.09.1986	17894.00	17894.00	17817.00	17853.00		-0.013973	-0.014072
01.10.1986	17854.00	17974.00	17563.00	17564.00		-0.016188	-0.016320
02.10.1986	17564.00	17602.00	17004.00	17019.00		-0.031029	-0.031521
03.10.1986	17005.00	17271.00	16820.00	17240.00		0.012985	0.012902
06.10.1986	17599.00	17676.00	17431.00	17435.00		0.011311	0.011247
07.10.1986	17441.00	17608.00	17441.00	17604.00		0.009693	0.009646
08.10.1986	17604.00	17683.00	17472.00	17515.00		-0.005056	-0.005068
09.10.1986	17512.00	17652.00	17512.00	17650.00		0.007708	0.007678
13.10.1986	17623.00	17623.00	17330.00	17339.00		-0.017620	-0.017777
14.10.1986	17349.00	17447.00	17097.00	17318.00		-0.001211	-0.001212
15.10.1986	17317.00	17393.00	16958.00	16970.00		-0.020095	-0.020299
16.10.1986	16976.00	17028.00	16692.00	16872.00		-0.005775	-0.005792
17.10.1986	16869.00	16932.00	16671.00	16700.00		-0.010194	-0.010247
20.10.1986	16692.00	16692.00	16482.00	16523.00		-0.010599	-0.010655
21.10.1986	16501.00	16501.00	15989.00	16206.00		-0.019185	-0.019372
22.10.1986	16216.00	16321.00	15638.00	15820.00		-0.023818	-0.024107
23.10.1986	15817.00	16329.00	15624.00	16308.00		0.030847	0.030381
24.10.1986	16322.00	16563.00	16280.00	16284.00		-0.001472	-0.001473
27.10.1986	16186.00	16207.00	16135.00	16158.00		-0.007738	-0.007768
28.10.1986	16152.00	16398.00	16152.00	16398.00		0.014853	0.014744
29.10.1986	16397.00	16532.00	16397.00	16505.00		0.006525	0.006504
30.10.1986	16526.00	17011.00	16526.00	17011.00		0.030657	0.030197
31.10.1986	17021.00	17091.00	16897.00	16911.00		-0.005879	-0.005896
04.11.1986	16840.00	16894.00	16751.00	16787.00		-0.007333	-0.007360
05.11.1986	16766.00	16845.00	16700.00	16714.00		-0.004349	-0.004358
06.11.1986	16712.00	16771.00	16712.00	16758.00		0.002633	0.002629
07.11.1986	16778.00	16977.00	16778.00	16974.00		0.012889	0.012807
10.11.1986	16989.00	17076.00	16961.00	17053.00		0.004654	0.004643
11.11.1986	17055.00	17303.00	17055.00	17301.00		0.014543	0.014438
12.11.1986	17306.00	17487.00	17306.00	17448.00		0.008497	0.008461
13.11.1986	17443.00	17466.00	17417.00	17438.00		-0.000573	-0.000573
14.11.1986	17424.00	17424.00	17290.00	17391.00		-0.002695	-0.002699
17.11.1986	17400.00	17475.00	17204.00	17208.00		-0.010523	-0.010578
18.11.1986	17221.00	17297.00	17221.00	17274.00		0.003835	0.003828
19.11.1986	17252.00	17303.00	17200.00	17284.00		0.000579	0.000579
20.11.1986	17314.00	17410.00	17265.00	17305.00		0.001215	0.001214
21.11.1986	17331.00	17520.00	17331.00	17490.00		0.010691	0.010634
25.11.1986	17658.00	17789.00	17658.00	17748.00		0.014751	0.014644
26.11.1986	17747.00	17770.00	17687.00	17728.00		-0.001127	-0.001128
27.11.1986	17748.00	17884.00	17748.00	17884.00		0.008800	0.008761
28.11.1986	17903.00	18084.00	17903.00	18083.00		0.011127	0.011066
01.12.1986	18339.00	18434.00	18308.00	18308.00		0.012443	0.012366
02.12.1986	18327.00	18360.00	18132.00	18191.00		-0.006391	-0.006411
03.12.1986	18200.00	18475.00	18200.00	18455.00		0.014513	0.014408
04.12.1986	18453.00	18626.00	18453.00	18624.00		0.009157	0.009116
05.12.1986	18616.00	18726.00	18613.00	18637.00		0.000698	0.000698
