Date,Open,High,Low,Close,Volume,Adj Close
2014-03-18,1940.21,1940.21,1940.21,1940.21,000,1940.21
2014-03-17,1921.15,1928.43,1919.61,1927.53,214900,1927.53
2014-03-14,1916.07,1927.89,1913.64,1919.90,254000,1919.90
2014-03-13,1940.35,1946.28,1931.75,1934.38,259600,1934.38
2014-03-12,1957.67,1958.09,1930.48,1932.54,329900,1932.54
2014-03-11,1957.22,1963.87,1951.20,1963.87,247500,1963.87
2014-03-10,1967.63,1967.66,1951.96,1954.42,214900,1954.42
2014-03-07,1979.70,1983.53,1968.66,1974.68,231600,1974.68
2014-03-06,1973.67,1975.62,1968.17,1975.62,193700,1975.62
2014-03-05,1973.28,1977.30,1970.28,1971.24,197700,1971.24
2014-03-04,1954.58,1963.56,1952.61,1954.11,200400,1954.11
2014-03-03,1967.90,1969.16,1955.11,1964.69,222600,1964.69
2014-02-28,1976.48,1981.15,1972.65,1979.99,252800,1979.99
2014-02-27,1969.85,1980.37,1965.70,1978.43,201100,1978.43
2014-02-26,1963.45,1973.88,1955.92,1970.77,209100,1970.77
2014-02-25,1958.30,1964.86,1955.70,1964.86,226000,1964.86
2014-02-24,1958.06,1961.41,1943.86,1949.05,193800,1949.05
2014-02-21,1948.03,1957.83,1946.68,1957.83,216300,1957.83
2014-02-20,1932.90,1941.13,1927.53,1930.57,232300,1930.57
2014-02-19,1944.70,1944.70,1932.44,1942.93,213600,1942.93
2014-02-18,1946.88,1951.06,1935.60,1946.91,200400,1946.91
2014-02-14,1930.14,1946.81,1930.14,1940.28,216600,1940.28
2014-02-13,1936.62,1944.73,1924.39,1926.96,187900,1926.96
2014-02-12,1942.23,1942.23,1933.54,1935.84,225400,1935.84
2014-02-11,1924.45,1935.29,1920.55,1932.06,226400,1932.06
2014-02-10,1928.13,1928.39,1916.40,1923.30,208000,1923.30
2014-02-07,1922.45,1923.25,1910.90,1922.50,273000,1922.50
2014-02-06,1897.35,1910.91,1897.35,1907.89,259400,1907.89
2014-02-05,1897.95,1901.40,1888.47,1891.32,244000,1891.32
2014-02-04,1894.96,1898.08,1885.53,1886.85,251000,1886.85
2014-02-03,1930.09,1931.81,1917.64,1919.96,229600,1919.96
2014-01-29,1925.93,1941.71,1925.52,1941.15,219900,1941.15
2014-01-28,1907.18,1919.26,1904.05,1916.93,270500,1916.93
2014-01-27,1905.91,1918.68,1899.76,1910.34,340400,1910.34
2014-01-24,1941.55,1947.01,1924.49,1940.56,279200,1940.56
2014-01-23,1968.77,1969.04,1947.01,1947.59,229400,1947.59
2014-01-22,1960.46,1970.42,1959.57,1970.42,243900,1970.42
2014-01-21,1955.26,1965.43,1949.56,1963.89,289300,1963.89
2014-01-20,1953.78,1953.78,1953.78,1953.78,000,1953.78
2014-01-17,1958.50,1962.64,1943.13,1944.48,260900,1944.48
2014-01-16,1957.91,1965.27,1955.79,1957.32,379600,1957.32
2014-01-15,1956.43,1956.84,1945.87,1953.28,250900,1953.28
2014-01-14,1942.79,1961.73,1939.31,1946.07,244100,1946.07
2014-01-13,1947.38,1954.07,1942.83,1948.92,267900,1948.92
2014-01-10,1949.53,1956.97,1931.16,1938.54,263000,1938.54
2014-01-09,1962.30,1964.59,1946.11,1946.11,276400,1946.11
2014-01-08,1965.50,1966.95,1950.02,1958.96,217100,1958.96
2014-01-07,1947.65,1965.74,1947.08,1959.44,193000,1959.44
2014-01-06,1947.62,1961.85,1943.74,1953.28,193600,1953.28
2014-01-03,1963.72,1964.63,1936.15,1946.14,188500,1946.14
2014-01-02,2013.11,2013.89,1967.19,1967.19,207800,1967.19
2013-12-30,2004.32,2011.34,1998.61,2011.34,172200,2011.34
2013-12-27,1994.05,2004.55,1987.58,2002.28,207800,2002.28
2013-12-26,2004.25,2009.96,1997.34,1999.30,230500,1999.30
2013-12-24,2000.24,2007.34,1994.34,2001.59,214700,2001.59
2013-12-23,1993.45,2000.07,1989.00,1996.89,223000,1996.89
2013-12-20,1973.12,1984.44,1972.59,1983.35,247100,1983.35
2013-12-19,1996.79,1997.02,1969.95,1975.65,255800,1975.65
2013-12-18,1971.85,1982.42,1966.18,1974.63,258700,1974.63
2013-12-17,1977.94,1979.62,1962.22,1965.74,253900,1965.74
2013-12-16,1960.60,1970.25,1956.63,1961.15,213500,1961.15
2013-12-13,1963.04,1963.81,1947.44,1962.91,234100,1962.91
2013-12-12,1966.44,1970.51,1958.99,1967.93,255100,1967.93
2013-12-11,1987.22,2000.15,1972.87,1977.97,231400,1977.97
2013-12-10,2000.03,2001.33,1989.41,1993.45,201000,1993.45
2013-12-09,2000.52,2003.97,1997.58,2000.38,230300,2000.38
2013-12-06,1982.99,1990.55,1980.40,1980.41,201900,1980.41
2013-12-05,1993.73,1994.32,1971.44,1984.77,217700,1984.77
2013-12-04,1998.69,2006.71,1986.80,1986.80,230300,1986.80
2013-12-03,2023.62,2028.07,2008.55,2009.36,294900,2009.36
2013-12-02,2050.45,2052.88,2029.10,2030.78,229700,2030.78
2013-11-29,2044.85,2050.70,2038.46,2044.87,245400,2044.87
2013-11-28,2039.73,2047.66,2037.73,2045.77,276300,2045.77
2013-11-27,2016.28,2028.81,2010.84,2028.81,284100,2028.81
2013-11-26,2008.19,2022.66,1998.90,2022.64,275300,2022.64
2013-11-25,2020.00,2031.11,2015.98,2015.98,295500,2015.98
2013-11-22,2002.15,2011.20,1992.48,2006.23,351000,2006.23
2013-11-21,2013.71,2013.71,1985.65,1993.78,292700,1993.78
2013-11-20,2028.34,2029.61,2010.74,2017.24,334800,2017.24
2013-11-19,2009.95,2033.91,2009.47,2031.64,402800,2031.64
2013-11-18,2014.24,2018.17,2009.76,2010.81,314000,2010.81
2013-11-15,1980.99,2006.31,1980.99,2005.64,264700,2005.64
2013-11-14,1980.20,1981.89,1963.42,1967.56,323100,1967.56
2013-11-13,1993.16,1993.16,1963.56,1963.56,251500,1963.56
2013-11-12,1983.94,2000.41,1983.89,1995.48,247400,1995.48
2013-11-11,1995.86,1995.86,1973.05,1977.30,286200,1977.30
2013-11-08,1987.21,1998.59,1984.86,1984.87,287300,1984.87
2013-11-07,2014.85,2017.55,2000.60,2004.04,310900,2004.04
2013-11-06,2015.32,2023.52,2011.41,2013.67,273700,2013.67
2013-11-05,2027.62,2029.60,2010.20,2013.93,257800,2013.93
2013-11-04,2035.08,2035.84,2022.91,2025.17,235200,2025.17
2013-11-01,2037.25,2041.23,2030.57,2039.42,294200,2039.42
2013-10-31,2050.96,2055.59,2030.09,2030.09,254500,2030.09
2013-10-30,2055.00,2059.58,2043.93,2059.58,263400,2059.58
2013-10-29,2046.67,2053.78,2039.46,2051.76,307700,2051.76
2013-10-28,2037.28,2048.14,2030.90,2048.14,257500,2048.14
2013-10-25,2047.46,2047.46,2023.82,2034.39,234800,2034.39
2013-10-24,2034.96,2046.69,2027.93,2046.69,254900,2046.69
2013-10-23,2062.81,2063.28,2035.75,2035.75,368000,2035.75
2013-10-22,2051.01,2056.12,2045.45,2056.12,378800,2056.12
2013-10-21,2054.16,2060.18,2047.83,2053.01,281900,2053.01
2013-10-18,2046.56,2052.40,2041.36,2052.40,257600,2052.40
2013-10-17,2051.19,2052.44,2035.96,2040.61,306900,2040.61
2013-10-16,2040.03,2049.50,2033.75,2034.61,267500,2034.61
2013-10-15,2034.69,2045.50,2033.84,2040.96,233600,2040.96
2013-10-14,2026.07,2026.79,2019.65,2020.27,220700,2020.27
2013-10-11,2018.01,2028.11,2012.66,2024.90,254300,2024.90
2013-10-10,2000.91,2010.00,1997.66,2001.40,222700,2001.40
2013-10-08,1987.97,2002.78,1981.21,2002.76,329600,2002.76
2013-10-07,1997.17,2002.61,1991.02,1994.42,249800,1994.42
2013-10-04,1999.92,2004.65,1985.63,1996.98,241100,1996.98
2013-10-02,2012.07,2012.82,1999.02,1999.47,238300,1999.47
2013-10-01,1997.62,2012.52,1991.22,1998.87,281300,1998.87
