Date,Open,High,Low,Close,Volume,Adj Close
2014-03-18,1813.54,1820.70,1813.54,1820.70,000,1820.70
2014-03-17,1806.15,1815.16,1802.88,1815.16,108928900,1815.16
2014-03-14,1817.08,1817.08,1805.12,1805.12,148488900,1805.12
2014-03-13,1820.34,1821.57,1816.76,1818.86,136052500,1818.86
2014-03-12,1827.33,1827.33,1813.49,1818.60,150885200,1818.60
2014-03-11,1823.54,1828.73,1823.54,1828.55,145394900,1828.55
2014-03-10,1826.38,1827.29,1817.20,1822.06,127615100,1822.06
2014-03-07,1834.28,1836.48,1831.87,1832.26,97258000,1832.26
2014-03-06,1829.12,1838.69,1828.04,1838.69,140395100,1838.69
2014-03-05,1830.45,1831.62,1828.01,1829.11,121027100,1829.11
2014-03-04,1820.91,1826.46,1818.86,1826.46,134203700,1826.46
2014-03-03,1834.44,1835.27,1813.60,1824.69,130074800,1824.69
2014-02-28,1826.19,1836.14,1825.82,1835.66,180935100,1835.66
2014-02-27,1823.51,1831.66,1823.51,1831.66,121768700,1831.66
2014-02-26,1830.21,1831.27,1822.55,1822.55,145921200,1822.55
2014-02-25,1829.98,1833.79,1827.26,1833.75,104626300,1833.75
2014-02-24,1831.44,1833.80,1826.53,1828.68,86125600,1828.68
2014-02-21,1826.44,1831.32,1826.44,1830.74,127296600,1830.74
2014-02-20,1830.18,1830.18,1822.79,1827.81,154155600,1827.81
2014-02-19,1821.27,1829.45,1820.59,1829.45,129464700,1829.45
2014-02-18,1827.76,1828.23,1822.68,1825.24,100196000,1825.24
2014-02-17,1819.69,1833.39,1819.69,1827.48,116333000,1827.48
2014-02-14,1816.51,1820.38,1813.90,1819.37,95875200,1819.37
2014-02-13,1827.21,1828.72,1816.22,1817.15,103558900,1817.15
2014-02-12,1821.96,1826.73,1821.75,1825.64,122838800,1825.64
2014-02-11,1815.88,1824.20,1815.57,1824.17,137574000,1824.17
2014-02-10,1812.98,1819.99,1812.29,1816.14,118516100,1816.14
2014-02-07,1798.71,1812.18,1797.84,1808.59,159831300,1808.59
2014-02-06,1784.92,1799.45,1783.68,1797.90,155548400,1797.90
2014-02-05,1784.84,1786.58,1782.82,1785.88,112702200,1785.88
2014-02-04,1795.89,1795.89,1769.80,1778.83,168483400,1778.83
2014-01-30,1788.78,1804.03,1780.10,1804.03,120999200,1804.03
2014-01-29,1780.73,1794.13,1780.21,1789.23,125884500,1789.23
2014-01-28,1784.10,1788.29,1780.83,1781.25,153111900,1781.25
2014-01-27,1794.16,1794.16,1777.62,1778.88,221453700,1778.88
2014-01-24,1802.29,1806.44,1798.57,1802.57,163902800,1802.57
2014-01-23,1815.27,1816.06,1806.73,1808.31,177386100,1808.31
2014-01-22,1816.57,1816.57,1803.43,1814.10,169743400,1814.10
2014-01-21,1807.45,1816.94,1806.25,1815.34,132058900,1815.34
2014-01-20,1807.59,1807.59,1807.59,1807.59,000,1807.59
