D	O	H	L	C	V	S	N
09.11.1990	1378.90	1389.00	1375.30	1387.10			
12.11.1990	1388.10	1408.10	1388.10	1407.50		0.014707	0.014600
13.11.1990	1412.20	1429.40	1411.40	1415.20		0.005471	0.005456
14.11.1990	1413.60	1413.60	1402.10	1410.30		-0.003462	-0.003468
15.11.1990	1410.60	1416.70	1405.10	1405.70		-0.003262	-0.003267
16.11.1990	1405.70	1407.40	1389.40	1395.20		-0.007470	-0.007498
19.11.1990	1395.60	1417.90	1395.60	1416.00		0.014908	0.014798
20.11.1990	1414.80	1415.00	1404.70	1405.80		-0.007203	-0.007229
21.11.1990	1405.60	1405.60	1396.70	1398.40		-0.005264	-0.005278
22.11.1990	1400.00	1401.40	1384.50	1388.80		-0.006865	-0.006889
23.11.1990	1387.20	1387.40	1379.40	1385.60		-0.002304	-0.002307
26.11.1990	1385.00	1385.00	1348.10	1353.70		-0.023023	-0.023292
27.11.1990	1353.70	1357.80	1349.00	1357.10		0.002512	0.002508
28.11.1990	1355.50	1370.00	1341.90	1366.60		0.007000	0.006976
29.11.1990	1366.60	1374.00	1361.60	1368.30		0.001244	0.001243
30.11.1990	1367.60	1385.10	1364.20	1384.90		0.012132	0.012059
03.12.1990	1389.00	1412.50	1389.00	1409.40		0.017691	0.017536
04.12.1990	1407.50	1410.40	1398.00	1403.10		-0.004470	-0.004480
05.12.1990	1404.70	1419.90	1390.40	1411.40		0.005915	0.005898
06.12.1990	1414.60	1454.30	1414.10	1450.30		0.027561	0.027188
07.12.1990	1450.70	1451.60	1436.90	1444.50		-0.003999	-0.004007
10.12.1990	1444.50	1459.20	1426.20	1426.20		-0.012669	-0.012750
11.12.1990	1425.40	1425.40	1411.30	1413.90		-0.008624	-0.008662
12.12.1990	1414.70	1423.70	1412.90	1419.90		0.004244	0.004235
13.12.1990	1421.10	1428.50	1414.80	1417.00		-0.002042	-0.002044
14.12.1990	1415.80	1415.80	1404.70	1407.60		-0.006634	-0.006656
17.12.1990	1407.60	1407.60	1383.40	1388.40		-0.013640	-0.013734
18.12.1990	1388.50	1394.60	1387.80	1393.40		0.003601	0.003595
19.12.1990	1393.90	1400.40	1378.10	1386.70		-0.004808	-0.004820
20.12.1990	1385.50	1385.50	1364.50	1371.20		-0.011178	-0.011241
21.12.1990	1370.80	1389.70	1366.00	1387.90		0.012179	0.012106
24.12.1990	1386.30	1388.70	1382.50	1387.40		-0.000360	-0.000360
27.12.1990	1387.80	1388.80	1378.50	1384.00		-0.002451	-0.002454
28.12.1990	1384.40	1384.80	1378.50	1383.10		-0.000650	-0.000651
03.01.1991	1380.70	1383.20	1361.80	1372.10		-0.007953	-0.007985
04.01.1991	1372.10	1375.90	1366.60	1371.70		-0.000292	-0.000292
07.01.1991	1368.80	1369.20	1338.30	1340.30		-0.022891	-0.023157
08.01.1991	1338.60	1338.60	1323.70	1326.40		-0.010371	-0.010425
09.01.1991	1326.40	1350.70	1326.40	1349.90		0.017717	0.017562
10.01.1991	1346.30	1346.30	1325.90	1331.50		-0.013631	-0.013724
11.01.1991	1331.60	1348.60	1320.10	1320.90		-0.007961	-0.007993
14.01.1991	1317.40	1317.40	1279.00	1287.60		-0.025210	-0.025533
15.01.1991	1288.70	1296.70	1281.50	1296.70		0.007067	0.007043
16.01.1991	1296.60	1296.60	1283.30	1289.40		-0.005630	-0.005646
17.01.1991	1290.80	1370.50	1290.80	1363.40		0.057391	0.055805
18.01.1991	1363.90	1363.90	1346.30	1354.00		-0.006895	-0.006918
21.01.1991	1352.20	1352.20	1330.10	1331.10		-0.016913	-0.017058
22.01.1991	1329.90	1340.30	1321.00	1336.80		0.004282	0.004273
23.01.1991	1337.70	1350.60	1336.90	1350.00		0.009874	0.009826
24.01.1991	1352.00	1387.80	1352.00	1387.80		0.028000	0.027615
25.01.1991	1387.90	1403.10	1387.90	1400.60		0.009223	0.009181
28.01.1991	1399.40	1413.90	1391.70	1413.90		0.009496	0.009451
29.01.1991	1412.70	1438.20	1410.60	1412.20		-0.001202	-0.001203
30.01.1991	1413.60	1441.50	1413.40	1438.60		0.018694	0.018522
31.01.1991	1442.50	1451.20	1417.70	1434.30		-0.002989	-0.002993
01.02.1991	1434.70	1453.20	1428.70	1448.10		0.009621	0.009575
04.02.1991	1447.80	1468.60	1447.10	1462.90		0.010220	0.010168
05.02.1991	1466.30	1479.00	1463.40	1472.50		0.006562	0.006541
06.02.1991	1471.40	1472.60	1448.50	1455.10		-0.011817	-0.011887
07.02.1991	1457.20	1464.30	1453.20	1463.30		0.005635	0.005620
08.02.1991	1463.30	1479.40	1459.10	1477.90		0.009977	0.009928
11.02.1991	1481.00	1516.80	1477.00	1515.70		0.025577	0.025255
12.02.1991	1517.50	1538.30	1505.50	1515.10		-0.000396	-0.000396
13.02.1991	1513.90	1542.00	1505.10	1540.00		0.016435	0.016301
14.02.1991	1541.60	1555.20	1534.50	1537.20		-0.001818	-0.001820
15.02.1991	1536.90	1572.20	1536.90	1558.90		0.014117	0.014018
18.02.1991	1559.50	1584.70	1559.50	1579.90		0.013471	0.013381
19.02.1991	1581.10	1594.60	1568.10	1574.00		-0.003734	-0.003741
20.02.1991	1572.30	1572.30	1535.40	1537.60		-0.023126	-0.023397
21.02.1991	1537.00	1560.60	1537.00	1560.60		0.014958	0.014848
22.02.1991	1560.20	1574.70	1555.10	1571.70		0.007113	0.007087
25.02.1991	1572.10	1607.50	1572.10	1603.20		0.020042	0.019844
26.02.1991	1601.40	1601.40	1571.70	1576.60		-0.016592	-0.016731
27.02.1991	1576.20	1599.60	1551.50	1589.50		0.008182	0.008149
28.02.1991	1589.90	1604.50	1568.00	1578.70		-0.006795	-0.006818
01.03.1991	1577.60	1577.60	1553.10	1559.00		-0.012479	-0.012557
04.03.1991	1559.00	1581.20	1558.20	1580.60		0.013855	0.013760
05.03.1991	1581.30	1592.80	1579.10	1592.00		0.007212	0.007187
06.03.1991	1593.90	1629.90	1593.40	1625.00		0.020729	0.020517
07.03.1991	1623.30	1625.70	1612.20	1623.50		-0.000923	-0.000924
08.03.1991	1622.90	1646.20	1621.60	1643.20		0.012134	0.012061
11.03.1991	1641.10	1641.10	1613.20	1622.00		-0.012902	-0.012986
12.03.1991	1620.20	1621.80	1610.10	1616.80		-0.003206	-0.003211
13.03.1991	1616.70	1617.20	1588.60	1591.70		-0.015524	-0.015646
14.03.1991	1594.40	1632.70	1594.40	1632.60		0.025696	0.025371
15.03.1991	1632.80	1645.40	1624.10	1629.30		-0.002021	-0.002023
18.03.1991	1628.90	1630.20	1609.50	1610.60		-0.011477	-0.011544
19.03.1991	1610.40	1610.40	1585.50	1586.70		-0.014839	-0.014950
20.03.1991	1586.10	1586.40	1567.60	1577.30		-0.005924	-0.005942
