D	O	H	L	C	V	S	N
01.03.1990	1836.00	1838.00	1827.00	1832.00			
02.03.1990	1831.00	1860.00	1831.00	1860.00		0.015284	0.015168
05.03.1990	1866.00	1874.00	1862.00	1874.00		0.007527	0.007499
06.03.1990	1869.00	1875.00	1866.00	1872.00		-0.001067	-0.001068
07.03.1990	1874.00	1881.00	1874.00	1880.00		0.004274	0.004264
08.03.1990	1891.00	1923.00	1891.00	1917.00		0.019681	0.019490
09.03.1990	1936.00	1941.00	1921.00	1921.00		0.002087	0.002084
12.03.1990	1917.00	1918.00	1912.00	1912.00		-0.004685	-0.004696
13.03.1990	1924.00	1924.00	1924.00	1924.00		0.006276	0.006257
14.03.1990	1919.00	1946.00	1919.00	1946.00		0.011435	0.011370
15.03.1990	1966.00	1967.00	1950.00	1964.00		0.009250	0.009207
16.03.1990	1963.00	1967.00	1952.00	1958.00		-0.003055	-0.003060
19.03.1990	1950.00	1953.00	1931.00	1936.00		-0.011236	-0.011300
20.03.1990	1934.00	1941.00	1922.00	1925.00		-0.005682	-0.005698
21.03.1990	1926.00	1940.00	1924.00	1938.00		0.006753	0.006731
22.03.1990	1918.00	1931.00	1910.00	1914.00		-0.012384	-0.012461
23.03.1990	1924.00	1944.00	1923.00	1937.00		0.012017	0.011945
26.03.1990	1948.00	1967.00	1948.00	1964.00		0.013939	0.013843
27.03.1990	1956.00	1959.00	1944.00	1946.00		-0.009165	-0.009207
28.03.1990	1944.00	1948.00	1931.00	1939.00		-0.003597	-0.003604
29.03.1990	1944.00	1953.00	1940.00	1947.00		0.004126	0.004117
30.03.1990	1943.00	1975.00	1943.00	1972.00		0.012840	0.012759
02.04.1990	1951.00	1962.00	1937.00	1947.00		-0.012677	-0.012759
03.04.1990	1953.00	1990.00	1953.00	1985.00		0.019517	0.019329
04.04.1990	1997.00	2014.00	1994.00	2001.00		0.008060	0.008028
05.04.1990	2004.00	2034.00	1997.00	2028.00		0.013493	0.013403
06.04.1990	2054.00	2081.00	2053.00	2070.00		0.020710	0.020499
09.04.1990	2076.00	2086.00	2063.00	2083.00		0.006280	0.006261
10.04.1990	2076.00	2079.00	2065.00	2075.00		-0.003841	-0.003848
11.04.1990	2074.00	2107.00	2072.00	2103.00		0.013494	0.013404
12.04.1990	2105.00	2117.00	2096.00	2117.00		0.006657	0.006635
17.04.1990	2122.00	2141.00	2117.00	2126.00		0.004251	0.004242
18.04.1990	2128.00	2128.00	2096.00	2098.00		-0.013170	-0.013258
19.04.1990	2073.00	2102.00	2072.00	2097.00		-0.000477	-0.000477
20.04.1990	2101.00	2131.00	2100.00	2129.00		0.015260	0.015145
23.04.1990	2126.00	2138.00	2084.00	2090.00		-0.018318	-0.018488
24.04.1990	2082.00	2109.00	2082.00	2101.00		0.005263	0.005249
25.04.1990	2104.00	2114.00	2091.00	2092.00		-0.004284	-0.004293
26.04.1990	2100.00	2108.00	2067.00	2072.00		-0.009560	-0.009606
27.04.1990	2080.00	2080.00	2054.00	2066.00		-0.002896	-0.002900
30.04.1990	2057.00	2057.00	2032.00	2046.00		-0.009681	-0.009728
02.05.1990	2056.00	2073.00	2048.00	2066.00		0.009775	0.009728
03.05.1990	2085.00	2104.00	2081.00	2099.00		0.015973	0.015847
04.05.1990	2108.00	2116.00	2096.00	2099.00		0.000000	0.000000
07.05.1990	2111.00	2122.00	2103.00	2120.00		0.010005	0.009955
09.05.1990	2133.00	2134.00	2103.00	2103.00		-0.008019	-0.008051
10.05.1990	2104.00	2106.00	2089.00	2104.00		0.000476	0.000475
11.05.1990	2089.00	2102.00	2081.00	2092.00		-0.005703	-0.005720
14.05.1990	2099.00	2099.00	2083.00	2090.00		-0.000956	-0.000956
15.05.1990	2088.00	2088.00	2064.00	2070.00		-0.009569	-0.009615
16.05.1990	2068.00	2080.00	2057.00	2071.00		0.000483	0.000483
17.05.1990	2069.00	2105.00	2069.00	2104.00		0.015934	0.015809
18.05.1990	2110.00	2120.00	2096.00	2100.00		-0.001901	-0.001903
21.05.1990	2083.00	2094.00	2075.00	2092.00		-0.003810	-0.003817
22.05.1990	2094.00	2117.00	2093.00	2115.00		0.010994	0.010934
23.05.1990	2136.00	2141.00	2117.00	2123.00		0.003783	0.003775
25.05.1990	2124.00	2124.00	2110.00	2112.00		-0.005181	-0.005195
28.05.1990	2098.00	2116.00	2093.00	2114.00		0.000947	0.000947
29.05.1990	2109.00	2125.00	2107.00	2123.00		0.004257	0.004248
30.05.1990	2135.00	2140.00	2116.00	2121.00		-0.000942	-0.000943
31.05.1990	2120.00	2121.00	2094.00	2107.00		-0.006601	-0.006623
01.06.1990	2102.00	2102.00	2083.00	2087.00		-0.009492	-0.009538
05.06.1990	2090.00	2091.00	2065.00	2069.00		-0.008625	-0.008662
